Gender,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,Would you say that you love America?,Have you ever gone hunting?,Have you ever eaten a kale salad?,Age Range
Female,DK/REF,College degree,White,Yes,No,No,35-44
Female,Disapprove,Some college,White,Yes,No,No,55-64
Male,Approve,Other,White,Yes,Yes,No,45-54
Female,Disapprove,College degree,White,Yes,No,Yes,35-44
Female,DK/REF,Graduate degree,Black,Yes,No,Yes,35-44
Female,Disapprove,High school,Latino,Yes,No,No,35-44
Female,Disapprove,Some college,White,Yes,No,No,65+
Female,Disapprove,College degree,Latino,Yes,No,No,35-44
Female,Disapprove,College degree,White,Yes,Yes,Yes,65+
Female,Disapprove,College degree,White,Yes,Yes,Yes,35-44
Female,Disapprove,Graduate degree,Black,Yes,Yes,Yes,35-44
Female,Approve,Graduate degree,White,Yes,No,No,65+
Female,Disapprove,High school,Latino,Yes,No,Yes,35-44
Female,Disapprove,Some college,White,Yes,No,No,45-54
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes,55-64
Male,DK/REF,Some college,White,Yes,Yes,Yes,35-44
Male,Disapprove,College degree,Latino,Yes,No,No,25-34
Male,DK/REF,Some college,White,Yes,Yes,Yes,35-44
Male,Approve,Graduate degree,White,Yes,Yes,Yes,35-44
Male,Disapprove,Some college,Latino,Yes,No,No,55-64
Female,Approve,Some college,White,Yes,No,No,45-54
Female,Disapprove,Some college,Black,Yes,No,No,55-64
Male,Approve,Some college,White,Yes,Yes,Yes,35-44
Male,Approve,College degree,White,Yes,Yes,Yes,35-44
Female,Disapprove,High school,Black,Yes,No,No,55-64
Female,Disapprove,Graduate degree,White,Yes,No,DK/REF,35-44
Male,Approve,High school,White,Yes,Yes,Yes,35-44
Female,DK/REF,Graduate degree,White,Yes,No,No,35-44
Female,Disapprove,Some college,White,Yes,No,Yes,45-54
Female,Disapprove,Graduate degree,White,Yes,No,Yes,35-44
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes,35-44
Female,Disapprove,College degree,Other,Yes,Yes,Yes,35-44
Male,Disapprove,Some college,White,Yes,No,No,35-44
Male,Approve,College degree,White,Yes,No,Yes,35-44
Male,Disapprove,Graduate degree,White,Yes,No,No,35-44
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes,35-44
Male,Approve,Graduate degree,White,Yes,Yes,No,25-34
Male,Approve,Graduate degree,Latino,Yes,Yes,Yes,35-44
