Gender,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,Would you say that you love America?,Have you ever gone hunting?,Have you ever eaten a kale salad?
Female,DK/REF,College degree,White,Yes,No,No
Female,Disapprove,Some college,White,Yes,No,No
Male,Approve,Other,White,Yes,Yes,No
Female,Disapprove,College degree,White,Yes,No,Yes
Female,DK/REF,Graduate degree,Black,Yes,No,Yes
Female,Disapprove,High school,Latino,Yes,No,No
Female,Disapprove,Some college,White,Yes,No,No
Female,Disapprove,College degree,Latino,Yes,No,No
Female,Disapprove,College degree,White,Yes,Yes,Yes
Female,Disapprove,College degree,White,Yes,Yes,Yes
Female,Disapprove,Graduate degree,Black,Yes,Yes,Yes
Female,Approve,Graduate degree,White,Yes,No,No
Female,Disapprove,High school,Latino,Yes,No,Yes
Female,Disapprove,Some college,White,Yes,No,No
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes
Male,DK/REF,Some college,White,Yes,Yes,Yes
Male,Disapprove,College degree,Latino,Yes,No,No
Male,DK/REF,Some college,White,Yes,Yes,Yes
Male,Approve,Graduate degree,White,Yes,Yes,Yes
Male,Disapprove,Some college,Latino,Yes,No,No
Female,Approve,Some college,White,Yes,No,No
Female,Disapprove,Some college,Black,Yes,No,No
Male,Approve,Some college,White,Yes,Yes,Yes
Male,Approve,College degree,White,Yes,Yes,Yes
Female,Disapprove,High school,Black,Yes,No,No
Female,Disapprove,Graduate degree,White,Yes,No,DK/REF
Male,Approve,High school,White,Yes,Yes,Yes
Female,DK/REF,Graduate degree,White,Yes,No,No
Female,Disapprove,Some college,White,Yes,No,Yes
Female,Disapprove,Graduate degree,White,Yes,No,Yes
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes
Female,Disapprove,College degree,Other,Yes,Yes,Yes
Male,Disapprove,Some college,White,Yes,No,No
Male,Approve,College degree,White,Yes,No,Yes
Male,Disapprove,Graduate degree,White,Yes,No,No
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes
Male,Approve,Graduate degree,White,Yes,Yes,No
Male,Approve,Graduate degree,Latino,Yes,Yes,Yes
Female,Disapprove,College degree,Black,Yes,No,No
Male,Disapprove,College degree,Latino,Yes,No,Yes
Male,Disapprove,College degree,White,Yes,No,No
Female,Approve,High school,White,Yes,Yes,Yes
Male,Approve,College degree,Black,Yes,No,No
Female,DK/REF,High school,Black,Yes,No,No
Female,Approve,College degree,Black,Yes,No,Yes
Male,Approve,High school,DK/REF,Yes,Yes,No
Male,Approve,College degree,Other,Yes,Yes,Yes
Male,Approve,Graduate degree,White,Yes,No,Yes
Female,Disapprove,High school,Black,Yes,No,No
Female,Approve,High school,White,Yes,No,No
Female,Disapprove,Some college,White,Yes,No,No
Female,Approve,Some college,White,Yes,Yes,Yes
Female,Disapprove,Some college,White,Yes,No,No
Other,Approve,Graduate degree,White,Yes,No,No
Male,Approve,College degree,White,Yes,Yes,Yes
Male,Disapprove,High school,White,Yes,Yes,Yes
Male,Disapprove,College degree,White,Yes,Yes,No
Female,Disapprove,College degree,White,Yes,No,No
Female,Disapprove,High school,Black,Yes,No,No
Female,Disapprove,High school,White,Yes,No,Yes
Female,Disapprove,College degree,White,Yes,No,No
Female,Disapprove,College degree,White,Yes,No,No
Female,Approve,College degree,White,Yes,Yes,Yes
Female,Disapprove,College degree,White,Yes,No,No
Male,Approve,Some college,White,Yes,Yes,No
Male,Approve,High school,White,Yes,Yes,No
Female,Disapprove,High school,Black,Yes,No,No
Female,Approve,Some college,White,Yes,Yes,No
Female,Approve,College degree,White,Yes,No,Yes
Male,Approve,High school,White,Yes,Yes,No
Male,Approve,Some college,White,Yes,Yes,No
Female,Disapprove,High school,Black,Yes,No,No
Male,Disapprove,High school,Black,Yes,No,No
Female,Disapprove,College degree,White,Yes,No,No
Male,Approve,College degree,White,Yes,No,Yes
Male,Disapprove,Some college,DK/REF,Yes,No,Yes
Female,Disapprove,Some college,White,Yes,No,Yes
Female,Disapprove,College degree,White,Yes,No,No
Female,Approve,High school,White,Yes,No,No
Male,Disapprove,Graduate degree,White,Yes,No,Yes
Male,Approve,Some college,White,Yes,Yes,DK/REF
Female,Disapprove,High school,White,No,No,No
Female,Disapprove,College degree,Black,Yes,No,Yes
Female,Disapprove,Some college,White,Yes,No,Yes
Male,Disapprove,High school,White,Yes,Yes,Yes
Male,Disapprove,College degree,White,Yes,No,Yes
Female,Disapprove,High school,White,Yes,Yes,Yes
Male,Approve,College degree,White,Yes,No,No
Other,Disapprove,Some college,White,Yes,No,Yes
Female,Approve,Some college,White,Yes,Yes,Yes
Female,Approve,College degree,White,Yes,No,Yes
Female,DK/REF,College degree,White,Yes,No,No
Female,Disapprove,Some college,Black,Yes,No,No
Male,Approve,College degree,White,Yes,Yes,No
Female,Disapprove,Graduate degree,White,Yes,No,No
Female,Disapprove,High school,Black,Yes,Yes,No
Female,Approve,Some college,White,No,Yes,Yes
Female,Approve,College degree,White,Yes,No,No
Female,Disapprove,College degree,Black,Yes,No,No
Female,Disapprove,Some college,White,Yes,No,Yes
Male,Approve,College degree,White,Yes,Yes,No
Female,DK/REF,High school,White,Yes,No,Yes
Female,Disapprove,Some college,White,Yes,No,Yes
Male,Approve,High school,White,Yes,Yes,Yes
Male,Disapprove,Graduate degree,White,Yes,Yes,No
Male,Disapprove,Some college,White,Yes,Yes,Yes
Female,Disapprove,College degree,White,Yes,No,No
Female,Disapprove,High school,White,Yes,Yes,No
Female,Disapprove,High school,White,Yes,Yes,Yes
Female,Disapprove,High school,White,Yes,No,No
Male,Disapprove,Some college,White,Yes,No,Yes
Female,Approve,Some college,White,Yes,Yes,No
Male,Approve,Some college,White,Yes,Yes,Yes
Male,Approve,Some college,White,Yes,Yes,No
