Gender,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Do you believe in ghosts?
Female,55-64,Democrat,Strongly disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Female,55-64,Democrat,Strongly disapprove,High school,Black,Single,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Disagree,Too High,FALSE,Smart and Sad,Unacceptable,No
Male,55-64,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Male,45-54,Republican,Strongly Approve,High school,White,Divorced,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Disagree,About Right,FALSE,Dumb and happy,Unacceptable,No
Female,25-34,Democrat,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Female,55-64,Democrat,Strongly disapprove,Some college,White,Married,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Male,55-64,Independent,Somewhat Approve,College degree,White,Divorced,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,55-64,Republican,Somewhat disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Republican,Somewhat Approve,High school,White,Married,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,65+,Democrat,Somewhat disapprove,Some college,White,Widowed,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Democrat,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,35-44,Independent,Neither approve nor disapprove,High school,White,Married,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Agree,Too High,DK/REF,Dumb and happy,Unacceptable,Yes
Female,55-64,Democrat,Somewhat Approve,College degree,White,Married,DK/REF,Real and Caused by People,0,Strongly Disagree,Somewhat Agree,Too High,TRUE,Dumb and happy,Unacceptable,Yes
Female,55-64,Democrat,Strongly disapprove,College degree,White,Single,Likely,DK/REF,0,Strongly Agree,Strongly Agree,Too Low,DK/REF,Smart and Sad,Unacceptable,No
Male,55-64,Republican,Somewhat disapprove,College degree,White,Divorced,Likely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,No
Male,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,TRUE,DK/REF,Unacceptable,No
Female,55-64,DK/REF,Strongly disapprove,Some college,White,Divorced,Likely,Real and Caused by People,5,Strongly Agree,Strongly Agree,Too Low,DK/REF,Dumb and happy,Unacceptable,Yes
Female,55-64,Democrat,Neither approve nor disapprove,High school,Other,Married,Likely,Real but not Caused by People,1,Strongly Disagree,Strongly Agree,Too High,TRUE,Dumb and happy,Acceptable,No
Female,35-44,Republican,Somewhat Approve,College degree,White,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,Too High,FALSE,Smart and Sad,Unacceptable,No
Female,45-54,Independent,Strongly disapprove,College degree,Latino,Married,Unlikely,Real and Caused by People,2,Strongly Agree,DK/REF,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
