cap-shape,cap-surface,cap-color,bruises,gill-spacing,gill-size,gill-color,stalk-shape,spore-print-color,population,habitat,class
x,s,n,t,c,n,k,e,k,s,u,p
x,s,y,t,c,b,k,e,n,n,g,e
b,s,w,t,c,b,n,e,n,n,m,e
x,y,w,t,c,n,n,e,k,s,u,p
x,s,g,f,w,b,k,t,n,a,g,e
x,y,y,t,c,b,n,e,k,n,g,e
b,s,w,t,c,b,g,e,k,n,m,e
b,y,w,t,c,b,n,e,n,s,m,e
x,y,w,t,c,n,p,e,k,v,g,p
b,s,y,t,c,b,g,e,k,s,m,e
x,y,y,t,c,b,g,e,n,n,g,e
x,y,y,t,c,b,n,e,k,s,m,e
b,s,y,t,c,b,w,e,n,s,g,e
x,y,w,t,c,n,k,e,n,v,u,p
x,f,n,f,w,b,n,t,k,a,g,e
s,f,g,f,c,n,k,e,n,y,u,e
f,f,w,f,w,b,k,t,n,a,g,e
x,s,n,t,c,n,n,e,k,s,g,p
x,y,w,t,c,n,n,e,n,s,u,p
x,s,n,t,c,n,k,e,n,s,u,p
b,s,y,t,c,b,k,e,n,s,m,e
x,y,n,t,c,n,n,e,n,v,g,p
b,y,y,t,c,b,k,e,n,s,m,e
b,y,w,t,c,b,w,e,n,n,m,e
b,s,w,t,c,b,g,e,k,s,m,e
f,s,w,t,c,n,n,e,n,v,g,p
x,y,y,t,c,b,n,e,n,n,m,e
x,y,w,t,c,b,w,e,n,n,m,e
f,f,n,f,c,n,k,e,k,y,u,e
x,s,y,t,w,n,n,t,n,v,d,e
b,s,y,t,c,b,g,e,n,n,m,e
x,y,w,t,c,n,k,e,n,s,u,p
x,y,y,t,c,b,n,e,n,n,m,e
x,y,n,t,c,b,p,e,n,y,p,e
b,y,y,t,c,b,n,e,n,s,m,e
x,f,y,t,w,n,w,t,n,v,d,e
s,f,g,f,c,n,k,e,k,v,u,e
x,y,n,t,c,n,w,e,n,s,u,p
x,f,y,t,w,n,p,t,n,v,d,e
b,s,y,t,c,b,k,e,k,s,m,e
b,y,y,t,c,b,n,e,n,s,g,e
x,y,y,t,c,b,n,e,k,y,p,e
x,f,n,f,c,n,g,e,k,y,u,e
x,y,w,t,c,n,p,e,n,v,g,p
x,s,y,t,c,b,w,e,k,n,m,e
x,y,w,t,c,b,n,e,n,n,g,e
x,y,y,t,c,b,k,e,k,s,m,e
x,s,w,t,c,b,w,e,n,n,m,e
x,y,y,t,c,b,n,e,n,s,p,e
f,y,y,t,c,b,w,e,k,s,p,e
x,y,n,t,c,b,w,e,k,s,g,e
x,s,w,t,c,b,k,e,k,s,g,e
b,s,w,t,c,b,k,e,n,n,m,e
x,y,n,t,c,n,k,e,n,v,u,p
x,s,w,t,c,n,k,e,k,v,u,p
b,y,y,t,c,b,w,e,k,s,m,e
f,f,g,f,w,b,n,t,n,a,g,e
b,s,w,t,c,b,w,e,n,n,g,e
x,s,y,t,c,b,k,e,k,n,g,e
x,y,n,t,c,b,p,e,k,y,p,e
s,f,g,f,c,n,k,e,n,v,u,e
b,y,y,t,c,b,k,e,n,s,m,e
b,s,y,t,c,b,g,e,n,s,m,e
b,y,y,t,c,b,g,e,n,n,m,e
b,y,w,t,c,b,n,e,n,s,g,e
f,s,n,f,w,b,k,t,k,a,g,e
x,s,w,t,c,b,n,e,k,s,g,e
f,y,y,t,c,b,w,e,n,s,g,e
x,y,y,t,c,b,w,e,k,n,g,e
x,f,g,f,c,n,p,e,n,v,u,e
f,f,y,t,w,n,p,t,n,v,d,e
b,y,w,t,c,b,g,e,n,s,m,e
f,f,y,t,w,n,w,t,n,v,d,e
x,y,n,t,c,b,p,e,k,s,p,e
b,s,y,t,c,b,k,e,k,s,g,e
f,s,y,t,w,n,p,t,n,v,d,e
x,s,w,t,w,n,n,t,u,v,d,e
f,y,n,t,c,b,p,e,n,y,p,e
x,y,n,t,c,n,w,e,n,v,u,p
f,y,n,t,c,b,n,e,n,y,g,e
x,s,n,f,w,b,k,t,n,s,g,e
x,y,w,t,c,n,w,e,k,s,g,p
f,f,g,f,c,n,n,e,n,y,u,e
x,f,g,f,w,b,n,t,n,s,g,e
x,y,y,t,c,b,w,e,k,s,g,e
x,s,n,f,w,b,k,t,k,s,g,e
b,s,w,t,c,b,w,e,k,s,g,e
x,s,w,t,c,b,n,e,n,s,g,e
f,y,n,t,c,b,w,e,k,y,g,e
s,f,n,f,c,n,n,e,n,v,u,e
x,f,n,f,c,n,n,e,n,y,u,e
b,s,w,t,c,b,k,e,k,s,g,e
x,y,y,t,c,b,g,e,k,s,g,e
x,y,y,t,c,b,g,e,k,n,m,e
x,s,n,f,w,b,n,t,n,a,g,e
x,s,w,t,c,b,g,e,n,s,g,e
f,y,n,t,c,b,p,e,n,s,g,e
x,s,y,t,c,b,n,e,k,n,g,e
b,s,w,t,c,b,g,e,n,s,g,e
