Job,School,Relationship,Race,Gender,Country,Salary
Government,Bachelors,Never-married,White,Male,United-States,<=50K
Self-employed,Bachelors,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Divorced,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,Black,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Black,Female,Cuba,<=50K
Private,Masters,Married-civ-spouse,White,Female,United-States,<=50K
Private,HS,Married-spouse-absent,Black,Female,Jamaica,<=50K
Self-employed,HS,Married-civ-spouse,White,Male,United-States,>50K
Private,Masters,Never-married,White,Female,United-States,>50K
Private,Bachelors,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Married-civ-spouse,Black,Male,United-States,>50K
Government,Bachelors,Married-civ-spouse,Asian-Pac-Islander,Male,India,>50K
Private,Bachelors,Never-married,White,Female,United-States,<=50K
Private,Associate,Never-married,Black,Male,United-States,<=50K
Private,Middleschool,Married-civ-spouse,Amer-Indian-Eskimo,Male,Mexico,<=50K
Self-employed,HS,Never-married,White,Male,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Self-employed,Masters,Divorced,White,Female,United-States,>50K
Private,Doctorate,Married-civ-spouse,White,Male,United-States,>50K
Private,HS,Separated,Black,Female,United-States,<=50K
Government,HS,Married-civ-spouse,Black,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Divorced,White,Female,United-States,<=50K
Government,Bachelors,Married-civ-spouse,White,Male,United-States,>50K
Private,HS,Never-married,White,Male,United-States,<=50K
Private,HS,Divorced,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Government,Associate,Never-married,White,Male,United-States,<=50K
Private,College-drop-out,Never-married,Black,Male,United-States,<=50K
Private,Bachelors,Divorced,White,Male,United-States,<=50K
Government,College-drop-out,Married-civ-spouse,White,Male,United-States,<=50K
Government,College-drop-out,Married-civ-spouse,Black,Male,United-States,<=50K
Private,HS,Never-married,White,Male,Puerto-Rico,<=50K
Private,College-drop-out,Never-married,White,Male,United-States,<=50K
Private,HS,Married-AF-spouse,White,Female,United-States,<=50K
Self-employed,Associate,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Self-employed,Bachelors,Married-civ-spouse,White,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Separated,White,Female,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Government,Bachelors,Married-civ-spouse,Black,Male,United-States,>50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Masters,Divorced,White,Female,United-States,<=50K
Government,Associate,Married-civ-spouse,White,Male,United-States,<=50K
Private,Associate,Never-married,White,Male,United-States,<=50K
Private,College-drop-out,Married-civ-spouse,Other,Female,United-States,<=50K
Private,Prof-school,Married-civ-spouse,White,Female,Honduras,>50K
Government,Bachelors,Divorced,White,Male,United-States,>50K
Self-employed,HS,Divorced,White,Male,United-States,<=50K
Private,College-drop-out,Married-civ-spouse,White,Male,United-States,>50K
Private,Elementary,Married-civ-spouse,White,Male,Mexico,<=50K
Private,Associate,Married-civ-spouse,White,Male,Puerto-Rico,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Doctorate,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Divorced,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,College-drop-out,Divorced,White,Female,United-States,<=50K
Private,HS,Married-civ-spouse,White,Female,United-States,>50K
Self-employed,College-drop-out,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Never-married,White,Male,United-States,<=50K
Private,Bachelors,Separated,Black,Female,United-States,<=50K
Self-employed,Bachelors,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Never-married,White,Male,United-States,<=50K
Private,College-drop-out,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Never-married,White,Male,Mexico,<=50K
Private,Associate,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Never-married,White,Female,United-States,<=50K
Government,Middleschool,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,White,Male,Cuba,<=50K
Private,HS,Married-civ-spouse,White,Female,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Divorced,White,Female,United-States,>50K
Private,HS,Divorced,White,Female,United-States,<=50K
Government,HS,Married-civ-spouse,White,Male,United-States,>50K
Private,Masters,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Government,Doctorate,Never-married,White,Female,United-States,>50K
Private,Associate,Married-civ-spouse,White,Male,United-States,<=50K
Private,College-drop-out,Divorced,White,Female,United-States,<=50K
Private,College-drop-out,Divorced,Black,Female,United-States,<=50K
Government,Bachelors,Married-civ-spouse,White,Male,United-States,>50K
Government,College-drop-out,Never-married,White,Male,United-States,<=50K
Self-employed,Doctorate,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Married-civ-spouse,White,Male,United-States,>50K
Private,Associate,Divorced,White,Female,England,<=50K
Government,HS,Never-married,Black,Male,United-States,<=50K
Private,Masters,Married-civ-spouse,White,Male,United-States,>50K
Private,Bachelors,Married-civ-spouse,White,Male,United-States,>50K
Self-employed,Masters,Never-married,White,Female,United-States,<=50K
Private,College-drop-out,Never-married,White,Female,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Self-employed,HS,Married-civ-spouse,White,Male,United-States,>50K
Private,HS,Never-married,White,Male,United-States,<=50K
Government,HS,Never-married,White,Female,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Bachelors,Never-married,White,Male,United-States,<=50K
Private,Prof-school,Married-civ-spouse,White,Male,United-States,>50K
Self-employed,HS,Married-civ-spouse,White,Male,Canada,>50K
Private,College-drop-out,Married-civ-spouse,White,Female,United-States,<=50K
Private,HS,Never-married,White,Female,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Self-employed,College-drop-out,Married-civ-spouse,White,Male,United-States,<=50K
Government,Associate,Married-civ-spouse,Black,Male,United-States,>50K
Private,College-drop-out,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Private,College-drop-out,Never-married,White,Female,United-States,<=50K
Private,Bachelors,Married-civ-spouse,White,Male,United-States,<=50K
Private,Bachelors,Never-married,Black,Male,Germany,<=50K
Government,Bachelors,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Never-married,Black,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,White,Female,United-States,>50K
Private,College-drop-out,Never-married,White,Female,United-States,<=50K
Private,Associate,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Divorced,White,Male,United-States,<=50K
Private,Associate,Never-married,White,Female,United-States,<=50K
Private,HS,Never-married,White,Female,United-States,<=50K
Self-employed,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,White,Male,United-States,<=50K
Private,Associate,Divorced,Black,Female,United-States,<=50K
Government,Masters,Married-civ-spouse,White,Male,Iran,>50K
Self-employed,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Associate,Married-civ-spouse,White,Female,United-States,<=50K
Private,College-drop-out,Never-married,White,Male,United-States,<=50K
Private,College-drop-out,Married-civ-spouse,Asian-Pac-Islander,Male,United-States,>50K
Self-employed,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,College-drop-out,Never-married,White,Female,United-States,<=50K
Private,College-drop-out,Never-married,White,Male,Mexico,<=50K
Private,Associate,Never-married,White,Female,United-States,>50K
Private,College-drop-out,Never-married,White,Male,United-States,<=50K
Private,HS,Never-married,Black,Female,United-States,<=50K
Private,College-drop-out,Married-civ-spouse,White,Male,United-States,<=50K
Private,HS,Widowed,White,Female,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Government,College-drop-out,Divorced,White,Female,Mexico,<=50K
Private,HS,Never-married,White,Female,United-States,<=50K
Private,Bachelors,Never-married,Asian-Pac-Islander,Female,Philippines,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Private,HS,Married-civ-spouse,White,Male,United-States,<=50K
Private,Bachelors,Never-married,White,Male,United-States,<=50K
Self-employed,College-drop-out,Separated,Black,Male,United-States,<=50K
Private,HS,Divorced,White,Male,United-States,<=50K
Private,Bachelors,Separated,Black,Male,United-States,<=50K
Private,HS,Never-married,White,Female,United-States,<=50K
Self-employed,Masters,Divorced,Asian-Pac-Islander,Female,United-States,<=50K
Private,HS,Never-married,Asian-Pac-Islander,Female,England,<=50K
Self-employed,Masters,Married-civ-spouse,White,Male,United-States,>50K
Private,College-drop-out,Divorced,White,Female,Mexico,<=50K
Government,Associate,Never-married,White,Male,United-States,<=50K
Government,Masters,Widowed,White,Male,United-States,<=50K
Private,HS,Never-married,White,Male,United-States,<=50K
Government,Associate,Widowed,White,Female,United-States,<=50K
