cap-shape,cap-surface,bruises,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,f,f,w,b,t,s,s,w,w,p,w,o,e,n,a,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,g,p
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,p
x,f,f,f,w,b,t,s,f,w,w,p,w,o,e,k,a,g,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,y,u,e
f,f,f,f,w,b,t,s,s,w,w,p,w,o,e,n,a,g,e
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,s,g,p
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,g,p
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
f,s,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,g,p
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
f,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
x,s,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,y,p,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,s,u,p
x,f,t,f,w,n,t,s,s,w,w,p,w,o,p,n,v,d,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
x,f,f,f,c,n,e,s,s,w,w,p,w,o,p,k,y,u,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,m,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,n,s,p,e
f,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,p,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,s,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
x,y,t,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,p
x,s,t,f,c,n,e,s,s,w,w,p,w,o,p,k,v,u,p
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,m,e
f,f,f,f,w,b,t,s,s,w,w,p,w,o,e,n,a,g,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,n,g,e
x,y,t,f,c,b,e,s,y,w,w,p,w,o,p,k,y,p,e
s,f,f,f,c,n,e,s,s,w,w,p,w,o,p,n,v,u,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
b,s,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,n,m,e
b,y,t,f,c,b,e,s,s,w,w,p,w,o,p,n,s,g,e
f,s,f,f,w,b,t,s,s,w,w,p,w,o,e,k,a,g,e
x,s,t,f,c,b,e,s,s,w,w,p,w,o,p,k,s,g,e
