Gender,Age Range,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,Would you say that you love America?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
Female,35-44,DK/REF,College degree,White,Yes,No,No,Donald Trump
Female,55-64,Disapprove,Some college,White,Yes,No,No,Darth Vader
Male,45-54,Approve,Other,White,Yes,Yes,No,Donald Trump
Female,35-44,Disapprove,College degree,White,Yes,No,Yes,Darth Vader
Female,35-44,DK/REF,Graduate degree,Black,Yes,No,Yes,Darth Vader
Female,35-44,Disapprove,High school,Latino,Yes,No,No,Darth Vader
Female,65+,Disapprove,Some college,White,Yes,No,No,Darth Vader
Female,35-44,Disapprove,College degree,Latino,Yes,No,No,Darth Vader
Female,65+,Disapprove,College degree,White,Yes,Yes,Yes,Donald Trump
Female,35-44,Disapprove,College degree,White,Yes,Yes,Yes,Darth Vader
Female,35-44,Disapprove,Graduate degree,Black,Yes,Yes,Yes,DK/REF
Female,65+,Approve,Graduate degree,White,Yes,No,No,Donald Trump
Female,35-44,Disapprove,High school,Latino,Yes,No,Yes,Darth Vader
Female,45-54,Disapprove,Some college,White,Yes,No,No,Darth Vader
Female,55-64,Disapprove,Graduate degree,White,Yes,Yes,Yes,DK/REF
Male,35-44,DK/REF,Some college,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Disapprove,College degree,Latino,Yes,No,No,Darth Vader
Male,35-44,DK/REF,Some college,White,Yes,Yes,Yes,Donald Trump
Male,35-44,Approve,Graduate degree,White,Yes,Yes,Yes,Donald Trump
Male,55-64,Disapprove,Some college,Latino,Yes,No,No,Donald Trump
Female,45-54,Approve,Some college,White,Yes,No,No,Donald Trump
Female,55-64,Disapprove,Some college,Black,Yes,No,No,DK/REF
Male,35-44,Approve,Some college,White,Yes,Yes,Yes,Donald Trump
Male,35-44,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Female,55-64,Disapprove,High school,Black,Yes,No,No,Darth Vader
Female,35-44,Disapprove,Graduate degree,White,Yes,No,DK/REF,DK/REF
Male,35-44,Approve,High school,White,Yes,Yes,Yes,Donald Trump
Female,35-44,DK/REF,Graduate degree,White,Yes,No,No,Donald Trump
Female,45-54,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Female,35-44,Disapprove,Graduate degree,White,Yes,No,Yes,DK/REF
Female,35-44,Disapprove,Graduate degree,White,Yes,Yes,Yes,DK/REF
Female,35-44,Disapprove,College degree,Other,Yes,Yes,Yes,Donald Trump
Male,35-44,Disapprove,Some college,White,Yes,No,No,Darth Vader
Male,35-44,Approve,College degree,White,Yes,No,Yes,Donald Trump
Male,35-44,Disapprove,Graduate degree,White,Yes,No,No,Darth Vader
Female,35-44,Disapprove,Graduate degree,White,Yes,Yes,Yes,DK/REF
Male,25-34,Approve,Graduate degree,White,Yes,Yes,No,Donald Trump
Male,35-44,Approve,Graduate degree,Latino,Yes,Yes,Yes,Donald Trump
Female,65+,Disapprove,College degree,Black,Yes,No,No,DK/REF
Male,25-34,Disapprove,College degree,Latino,Yes,No,Yes,Donald Trump
Male,55-64,Disapprove,College degree,White,Yes,No,No,DK/REF
Female,25-34,Approve,High school,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Approve,College degree,Black,Yes,No,No,DK/REF
Female,55-64,DK/REF,High school,Black,Yes,No,No,Darth Vader
Female,35-44,Approve,College degree,Black,Yes,No,Yes,Darth Vader
Male,25-34,Approve,High school,DK/REF,Yes,Yes,No,Donald Trump
Male,35-44,Approve,College degree,Other,Yes,Yes,Yes,Donald Trump
Male,35-44,Approve,Graduate degree,White,Yes,No,Yes,DK/REF
Female,55-64,Disapprove,High school,Black,Yes,No,No,Darth Vader
Female,55-64,Approve,High school,White,Yes,No,No,DK/REF
Female,35-44,Disapprove,Some college,White,Yes,No,No,Donald Trump
Female,35-44,Approve,Some college,White,Yes,Yes,Yes,Donald Trump
Female,45-54,Disapprove,Some college,White,Yes,No,No,Darth Vader
Other,55-64,Approve,Graduate degree,White,Yes,No,No,Donald Trump
Male,25-34,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Male,45-54,Disapprove,High school,White,Yes,Yes,Yes,Donald Trump
Male,35-44,Disapprove,College degree,White,Yes,Yes,No,Darth Vader
Female,45-54,Disapprove,College degree,White,Yes,No,No,Donald Trump
Female,35-44,Disapprove,High school,Black,Yes,No,No,Darth Vader
Female,35-44,Disapprove,High school,White,Yes,No,Yes,Donald Trump
Female,35-44,Disapprove,College degree,White,Yes,No,No,DK/REF
Female,35-44,Disapprove,College degree,White,Yes,No,No,Darth Vader
Female,35-44,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Female,65+,Disapprove,College degree,White,Yes,No,No,DK/REF
Male,45-54,Approve,Some college,White,Yes,Yes,No,Donald Trump
Male,25-34,Approve,High school,White,Yes,Yes,No,Donald Trump
Female,18-24,Disapprove,High school,Black,Yes,No,No,Donald Trump
Female,45-54,Approve,Some college,White,Yes,Yes,No,Donald Trump
Female,45-54,Approve,College degree,White,Yes,No,Yes,Donald Trump
Male,45-54,Approve,High school,White,Yes,Yes,No,Donald Trump
Male,25-34,Approve,Some college,White,Yes,Yes,No,Donald Trump
Female,45-54,Disapprove,High school,Black,Yes,No,No,Darth Vader
Male,18-24,Disapprove,High school,Black,Yes,No,No,Darth Vader
Female,55-64,Disapprove,College degree,White,Yes,No,No,Darth Vader
Male,18-24,Approve,College degree,White,Yes,No,Yes,Donald Trump
Male,65+,Disapprove,Some college,DK/REF,Yes,No,Yes,Darth Vader
Female,55-64,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Female,35-44,Disapprove,College degree,White,Yes,No,No,Donald Trump
Female,45-54,Approve,High school,White,Yes,No,No,Donald Trump
Male,55-64,Disapprove,Graduate degree,White,Yes,No,Yes,Darth Vader
Male,55-64,Approve,Some college,White,Yes,Yes,DK/REF,Donald Trump
Female,25-34,Disapprove,High school,White,No,No,No,Donald Trump
Female,45-54,Disapprove,College degree,Black,Yes,No,Yes,Darth Vader
Female,35-44,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Male,55-64,Disapprove,High school,White,Yes,Yes,Yes,DK/REF
Male,35-44,Disapprove,College degree,White,Yes,No,Yes,DK/REF
Female,35-44,Disapprove,High school,White,Yes,Yes,Yes,Donald Trump
Male,35-44,Approve,College degree,White,Yes,No,No,Donald Trump
Other,35-44,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Female,55-64,Approve,Some college,White,Yes,Yes,Yes,Donald Trump
Female,45-54,Approve,College degree,White,Yes,No,Yes,Donald Trump
Female,35-44,DK/REF,College degree,White,Yes,No,No,DK/REF
Female,35-44,Disapprove,Some college,Black,Yes,No,No,DK/REF
Male,35-44,Approve,College degree,White,Yes,Yes,No,Donald Trump
Female,55-64,Disapprove,Graduate degree,White,Yes,No,No,Darth Vader
Female,65+,Disapprove,High school,Black,Yes,Yes,No,DK/REF
Female,45-54,Approve,Some college,White,No,Yes,Yes,Donald Trump
Female,65+,Approve,College degree,White,Yes,No,No,DK/REF
Female,45-54,Disapprove,College degree,Black,Yes,No,No,Darth Vader
Female,55-64,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Male,55-64,Approve,College degree,White,Yes,Yes,No,Donald Trump
Female,45-54,DK/REF,High school,White,Yes,No,Yes,DK/REF
Female,25-34,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Male,65+,Approve,High school,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Disapprove,Graduate degree,White,Yes,Yes,No,Darth Vader
Male,18-24,Disapprove,Some college,White,Yes,Yes,Yes,Donald Trump
Female,45-54,Disapprove,College degree,White,Yes,No,No,Donald Trump
Female,25-34,Disapprove,High school,White,Yes,Yes,No,Darth Vader
Female,45-54,Disapprove,High school,White,Yes,Yes,Yes,DK/REF
Female,65+,Disapprove,High school,White,Yes,No,No,Donald Trump
Male,18-24,Disapprove,Some college,White,Yes,No,Yes,Donald Trump
Female,25-34,Approve,Some college,White,Yes,Yes,No,Donald Trump
Male,65+,Approve,Some college,White,Yes,Yes,Yes,Donald Trump
Male,65+,Approve,Some college,White,Yes,Yes,No,Donald Trump
Female,35-44,Approve,Graduate degree,Other,Yes,No,Yes,Donald Trump
Female,45-54,Approve,College degree,Other,Yes,Yes,Yes,Donald Trump
Male,45-54,Disapprove,Graduate degree,White,Yes,Yes,Yes,Donald Trump
Female,65+,Approve,Some college,White,Yes,Yes,No,Donald Trump
Female,45-54,Disapprove,College degree,White,Yes,No,Yes,Darth Vader
Male,35-44,Approve,College degree,White,Yes,Yes,No,Donald Trump
Female,45-54,Approve,High school,White,Yes,No,No,Donald Trump
Male,45-54,Disapprove,High school,Latino,Yes,Yes,No,Donald Trump
Other,25-34,Disapprove,Some college,White,Yes,Yes,Yes,Donald Trump
Male,65+,Approve,Graduate degree,White,Yes,No,No,DK/REF
Female,65+,Approve,High school,Other,Yes,No,No,DK/REF
Male,55-64,Approve,High school,Latino,Yes,No,No,Donald Trump
Female,25-34,Approve,Graduate degree,White,Yes,Yes,Yes,Donald Trump
Male,55-64,Disapprove,High school,Latino,Yes,Yes,No,Darth Vader
Female,55-64,Disapprove,College degree,White,Yes,No,No,DK/REF
Female,65+,Disapprove,High school,Black,Yes,No,No,DK/REF
Female,35-44,Disapprove,Some college,Black,Yes,Yes,Yes,Darth Vader
Male,65+,Disapprove,College degree,Latino,Yes,No,Yes,DK/REF
Male,45-54,Approve,High school,White,Yes,Yes,No,Donald Trump
DK/REF,65+,Disapprove,High school,Black,Yes,No,No,DK/REF
Female,35-44,Approve,Some college,White,Yes,No,No,Donald Trump
Male,65+,Approve,High school,White,Yes,No,No,Donald Trump
Female,25-34,Disapprove,Graduate degree,White,Yes,No,No,Darth Vader
Female,65+,DK/REF,High school,Black,Yes,No,No,Donald Trump
Female,65+,Disapprove,Some college,White,Yes,No,No,Donald Trump
Female,35-44,Disapprove,College degree,White,Yes,No,No,Donald Trump
Female,65+,DK/REF,Some college,White,Yes,Yes,DK/REF,DK/REF
Female,25-34,Approve,High school,White,Yes,No,No,Donald Trump
Male,55-64,Disapprove,High school,White,Yes,Yes,Yes,Darth Vader
Female,35-44,Disapprove,College degree,White,Yes,No,No,Darth Vader
Male,45-54,Approve,Graduate degree,White,Yes,Yes,No,Donald Trump
Female,45-54,Approve,College degree,DK/REF,Yes,No,Yes,Donald Trump
Male,45-54,Disapprove,Graduate degree,White,Yes,No,Yes,Donald Trump
Female,65+,Approve,High school,White,Yes,No,No,Donald Trump
Male,35-44,Disapprove,College degree,Black,Yes,Yes,Yes,Darth Vader
Female,35-44,Disapprove,College degree,White,Yes,Yes,Yes,Donald Trump
Male,65+,Disapprove,Some college,White,Yes,Yes,Yes,DK/REF
Male,45-54,Approve,Some college,White,Yes,Yes,Yes,Donald Trump
Male,35-44,Approve,College degree,White,Yes,No,Yes,Donald Trump
Male,45-54,Approve,Some college,Other,Yes,Yes,Yes,Donald Trump
Male,55-64,Approve,Other,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Approve,Some college,DK/REF,Yes,Yes,No,Darth Vader
Male,45-54,Approve,Graduate degree,Latino,Yes,No,Yes,Donald Trump
Female,65+,Disapprove,College degree,White,Yes,No,Yes,Darth Vader
Male,55-64,DK/REF,Graduate degree,Black,Yes,No,No,Donald Trump
Male,35-44,Approve,High school,White,Yes,No,No,Darth Vader
Male,35-44,Disapprove,High school,White,Yes,Yes,Yes,Donald Trump
Female,35-44,Disapprove,College degree,Black,No,No,Yes,Darth Vader
Female,35-44,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Female,55-64,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Female,55-64,Approve,High school,White,Yes,No,No,Donald Trump
Male,65+,DK/REF,High school,White,Yes,No,No,DK/REF
Male,35-44,Disapprove,College degree,White,Yes,Yes,Yes,Darth Vader
Female,35-44,Disapprove,Some college,Black,Yes,No,No,Darth Vader
Female,35-44,DK/REF,Graduate degree,Latino,Yes,Yes,Yes,DK/REF
Female,35-44,Approve,College degree,White,Yes,No,Yes,DK/REF
Female,55-64,Disapprove,High school,Other,Yes,No,No,Darth Vader
Female,65+,DK/REF,Other,Black,Yes,No,Yes,DK/REF
Female,18-24,Disapprove,Some college,Latino,Yes,No,No,DK/REF
Male,35-44,Approve,College degree,Other,Yes,Yes,DK/REF,Donald Trump
Female,35-44,DK/REF,College degree,Black,Yes,No,No,DK/REF
Female,45-54,Disapprove,College degree,White,Yes,No,Yes,Donald Trump
Male,65+,DK/REF,Some college,Black,Yes,No,Yes,Donald Trump
Female,55-64,Approve,Some college,White,Yes,No,No,Donald Trump
Female,65+,Disapprove,Graduate degree,White,Yes,No,No,DK/REF
Male,18-24,Disapprove,Some college,Asian,No,No,Yes,Darth Vader
Male,65+,Approve,College degree,White,Yes,Yes,No,Donald Trump
Male,55-64,Approve,College degree,White,Yes,Yes,DK/REF,Donald Trump
Female,25-34,Disapprove,College degree,White,Yes,Yes,Yes,Darth Vader
Male,25-34,Disapprove,High school,Latino,Yes,No,DK/REF,Darth Vader
Female,25-34,Disapprove,Some college,Black,Yes,No,No,Darth Vader
Female,65+,Approve,Graduate degree,White,Yes,Yes,DK/REF,Donald Trump
Male,18-24,Disapprove,Some college,White,Yes,Yes,No,Darth Vader
Male,35-44,Disapprove,High school,Latino,Yes,No,Yes,Darth Vader
Male,25-34,Disapprove,College degree,Asian,Yes,No,No,Darth Vader
DK/REF,25-34,Approve,Some college,White,Yes,Yes,DK/REF,DK/REF
Male,25-34,Disapprove,High school,White,Yes,Yes,No,Donald Trump
Male,18-24,DK/REF,DK/REF,Latino,Yes,Yes,Yes,Donald Trump
Female,65+,Disapprove,Some college,White,Yes,Yes,Yes,DK/REF
Female,45-54,Approve,Some college,White,Yes,No,No,Donald Trump
Female,35-44,Disapprove,Graduate degree,White,Yes,No,Yes,Darth Vader
Male,45-54,Disapprove,Some college,White,Yes,Yes,Yes,Donald Trump
Other,35-44,Disapprove,Graduate degree,White,Yes,No,Yes,Darth Vader
Male,65+,Approve,College degree,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Approve,Some college,Latino,Yes,No,No,Donald Trump
Male,45-54,Disapprove,Some college,White,Yes,No,Yes,Darth Vader
Male,65+,Disapprove,College degree,Latino,Yes,No,Yes,Donald Trump
Male,45-54,Disapprove,Some college,White,Yes,No,DK/REF,Darth Vader
Male,35-44,Disapprove,Some college,Latino,Yes,No,No,Darth Vader
Female,35-44,Disapprove,College degree,Asian,Yes,No,Yes,Donald Trump
Male,25-34,Disapprove,College degree,White,Yes,Yes,No,Darth Vader
Female,55-64,Disapprove,Graduate degree,White,Yes,No,No,DK/REF
Male,45-54,Approve,College degree,White,Yes,Yes,No,Donald Trump
Male,65+,Approve,College degree,Black,No,Yes,No,Donald Trump
Male,55-64,DK/REF,Some college,White,Yes,Yes,Yes,Donald Trump
Male,35-44,Disapprove,Graduate degree,White,No,No,Yes,Darth Vader
Female,45-54,Disapprove,Some college,White,Yes,No,No,Darth Vader
Female,65+,Approve,High school,White,Yes,No,No,Donald Trump
Female,45-54,Disapprove,Some college,Latino,Yes,No,Yes,Darth Vader
Male,35-44,Approve,College degree,White,Yes,Yes,No,Donald Trump
Male,35-44,Approve,Some college,White,Yes,Yes,Yes,Donald Trump
Male,25-34,Disapprove,Some college,Black,Yes,Yes,No,Darth Vader
Female,45-54,Disapprove,College degree,Other,Yes,No,Yes,DK/REF
